"inv_id" "sim_gen" "freq" "freq_p1" "freq_p2" "num_qtns" "mean_qtnSelCoef" "sd_qtnSelCoef" "mean_qtnDom" "sd_qtnDom" "inv_FST" "inv_originGen" "inv_pos" "inv_end" "inv_length"
958941 1200 0.0085 0.008 0.009 3 0.00136667 0.000320765 0 0 0 1139 59830 88212 28383
968144 8400 0.71575 0.722 0.7095 149 0.00000578956 0.00202928 0 0 0.000191999 1150 1540600 1575664 35065
968144 5400 0.0385 0.038 0.039 30 -0.000167752 0.0021632 0 0 0 1150 1540600 1575664 35065
968144 8200 0.742 0.7355 0.7485 161 0.000119706 0.00190593 0 0 0.0002207 1150 1540600 1575664 35065
968144 3800 0.386 0.383 0.389 86 -0.0000248125 0.00201642 0 0 0.000037974 1150 1540600 1575664 35065
968144 3600 0.351 0.3505 0.3515 82 0.0000344379 0.0018644 0 0 0.00000109746 1150 1540600 1575664 35065
968144 4000 0.48825 0.4915 0.485 108 0.0000302133 0.00170642 0 0 0.0000422733 1150 1540600 1575664 35065
968144 5600 0.00425 0.004 0.0045 16 -0.0000906952 0.0020739 0 0 0 1150 1540600 1575664 35065
968144 2000 0.28775 0.286 0.2895 52 0.000246138 0.00169059 0 0 0.0000149427 1150 1540600 1575664 35065
968144 1600 0.1905 0.199 0.182 27 -0.000353153 0.00258306 0 0 0.000468518 1150 1540600 1575664 35065
968144 4800 0.32675 0.3325 0.321 76 0.000126071 0.00196618 0 0 0.000150295 1150 1540600 1575664 35065
968144 2400 0.331 0.353 0.309 48 -0.00025788 0.00172786 0 0 0.0021857 1150 1540600 1575664 35065
968144 3000 0.48175 0.492 0.4715 89 -0.0000824009 0.00178578 0 0 0.000420811 1150 1540600 1575664 35065
968144 5200 0.12975 0.1255 0.134 34 0.000162663 0.00225319 0 0 0.000159966 1150 1540600 1575664 35065
968144 7400 0.74375 0.7435 0.744 155 -0.000134111 0.00197578 0 0 0.000000327936 1150 1540600 1575664 35065
968144 1800 0.29 0.2765 0.3035 46 -0.00000493579 0.00237114 0 0 0.000885138 1150 1540600 1575664 35065
968144 8600 0.83575 0.841 0.8305 201 -0.0000591888 0.00202195 0 0 0.000200788 1150 1540600 1575664 35065
968144 7600 0.61725 0.6015 0.633 142 -0.0000974965 0.00212129 0 0 0.00104999 1150 1540600 1575664 35065
968144 2600 0.2955 0.287 0.304 49 -0.0000513826 0.00182597 0 0 0.000347056 1150 1540600 1575664 35065
968144 8000 0.67525 0.672 0.6785 154 -0.000153115 0.00206282 0 0 0.0000481674 1150 1540600 1575664 35065
968144 1400 0.089 0.103 0.075 11 -0.000346496 0.00211335 0 0 0.0024174 1150 1540600 1575664 35065
968144 7800 0.702 0.704 0.7 166 -0.000179519 0.00208841 0 0 0.0000191208 1150 1540600 1575664 35065
968144 3200 0.5275 0.529 0.526 90 -0.0000315966 0.00180062 0 0 0.00000902731 1150 1540600 1575664 35065
968144 6200 0.1545 0.1465 0.1625 39 0.00000884797 0.00216085 0 0 0.000489934 1150 1540600 1575664 35065
968144 8800 0.938 0.9375 0.9385 222 0.000196169 0.00199643 0 0 0.00000429878 1150 1540600 1575664 35065
968144 2800 0.3675 0.3715 0.3635 81 -0.00000373159 0.00179695 0 0 0.0000688339 1150 1540600 1575664 35065
968144 1200 0.005 0.005 0.005 4 -0.00165031 0.00299093 0 0 0 1150 1540600 1575664 35065
968144 7000 0.70325 0.715 0.6915 122 0.000030044 0.00201431 0 0 0.000661569 1150 1540600 1575664 35065
968144 9000 0.9865 0.9895 0.9835 218 0.000101765 0.00210112 0 0 0 1150 1540600 1575664 35065
968144 2200 0.1195 0.121 0.118 29 -0.000597452 0.00199643 0 0 0.0000213838 1150 1540600 1575664 35065
968144 5800 0.005 0.0045 0.0055 17 -0.000256507 0.00212124 0 0 0 1150 1540600 1575664 35065
968144 6800 0.56675 0.5615 0.572 99 -0.000267711 0.00201257 0 0 0.000112251 1150 1540600 1575664 35065
968144 7200 0.6765 0.668 0.685 130 0.0000828234 0.00200066 0 0 0.000330138 1150 1540600 1575664 35065
968144 5000 0.1045 0.1055 0.1035 52 0.000242414 0.00212477 0 0 0.0000106861 1150 1540600 1575664 35065
968144 6000 0.0535 0.0545 0.0525 24 -0.000678542 0.00221175 0 0 0.0000197481 1150 1540600 1575664 35065
968144 4400 0.47175 0.485 0.4585 122 0.000143288 0.00191468 0 0 0.000704499 1150 1540600 1575664 35065
