sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
16400 32 0.0601988 0.0502778 0.0701198 0.0599399 0.0604577 0.445766 0.134075 0.0352076 0.187389 0.455946 0.135881 -0.0496511 0.187034
16600 28 0.118192 0.133031 0.103352 0.118208 0.118175 0.492969 0.16378 0.0948778 0.22694 0.478113 0.167259 -0.0734735 0.234879
16800 22 0.141328 0.144374 0.138283 0.142806 0.139851 0.503035 0.18813 0.104654 0.263803 0.498512 0.179311 -0.0988971 0.252747
17000 27 0.120513 0.132359 0.108666 0.121513 0.119512 0.495292 0.181473 0.0958278 0.253079 0.482445 0.178489 -0.0785305 0.250363
17200 24 0.156213 0.144845 0.167582 0.154002 0.158425 0.508658 0.212789 0.104706 0.309888 0.522238 0.223097 -0.124354 0.319429
17400 26 0.258494 0.233195 0.283793 0.256087 0.260902 0.570432 0.273246 0.177779 0.413935 0.598139 0.273074 -0.219066 0.411462
17600 29 0.314308 0.294395 0.334221 0.315135 0.313481 0.616855 0.316215 0.233581 0.505457 0.635941 0.30469 -0.266858 0.485708
17800 31 0.337056 0.349712 0.3244 0.335168 0.338944 0.657019 0.3468 0.295136 0.575366 0.646251 0.35563 -0.267955 0.597457
18000 28 0.366726 0.38188 0.351571 0.365551 0.3679 0.677582 0.351406 0.324253 0.60469 0.663601 0.364645 -0.305419 0.619596
18200 30 0.402216 0.386033 0.418399 0.400415 0.404017 0.687654 0.376115 0.339226 0.675537 0.705638 0.376627 -0.383286 0.671875
18400 31 0.425979 0.426761 0.425196 0.42861 0.423348 0.708154 0.367786 0.38251 0.661132 0.704741 0.361095 -0.377585 0.642138
18600 32 0.408618 0.41342 0.403817 0.409963 0.407274 0.700522 0.368148 0.368225 0.659523 0.694376 0.365473 -0.351091 0.653883
18800 23 0.399359 0.378915 0.419802 0.40059 0.398127 0.681461 0.371402 0.337005 0.65902 0.700674 0.35898 -0.368199 0.634193
19000 28 0.407261 0.416162 0.398359 0.405005 0.409517 0.702838 0.370989 0.368576 0.678062 0.696192 0.385367 -0.375149 0.700285
19200 27 0.395565 0.379344 0.411787 0.393523 0.397608 0.684506 0.382851 0.338254 0.702693 0.70277 0.381675 -0.385392 0.703634
19400 30 0.420836 0.408433 0.433238 0.42036 0.421312 0.703071 0.387506 0.374864 0.729173 0.71595 0.382822 -0.402245 0.71578
19600 28 0.437732 0.440499 0.434964 0.439776 0.435688 0.716832 0.370895 0.400274 0.679138 0.712021 0.367096 -0.391793 0.664442
19800 32 0.400951 0.398962 0.40294 0.402594 0.399307 0.696118 0.384306 0.367696 0.710719 0.696463 0.376827 -0.359599 0.695777
20000 32 0.418652 0.41273 0.424575 0.419058 0.418246 0.705357 0.390609 0.398503 0.748326 0.710873 0.385635 -0.3899 0.730271
20200 36 0.431797 0.44439 0.419205 0.433587 0.430007 0.721076 0.380852 0.42641 0.715541 0.706693 0.379669 -0.375926 0.708246
