sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
18400 25 0.412912 0.398846 0.426977 0.412705 0.413118 0.69671 0.388049 0.374165 0.730242 0.710982 0.380228 -0.393035 0.718474
18600 33 0.399191 0.392096 0.406285 0.398703 0.399678 0.692652 0.38757 0.367104 0.739078 0.700233 0.385926 -0.379668 0.729032
18800 33 0.412488 0.426943 0.398033 0.412581 0.412395 0.707777 0.370627 0.39424 0.679978 0.693229 0.378014 -0.363037 0.701594
19000 45 0.410487 0.370931 0.450042 0.409113 0.411861 0.680896 0.390753 0.344476 0.743418 0.721825 0.376416 -0.430949 0.721143
19200 34 0.417126 0.39511 0.439141 0.41924 0.415012 0.695258 0.394776 0.38324 0.761781 0.715159 0.377396 -0.423842 0.734982
19400 31 0.441039 0.4474 0.434678 0.441555 0.440523 0.723146 0.386116 0.428173 0.765145 0.716268 0.388935 -0.419344 0.767792
19600 33 0.441374 0.474285 0.408462 0.441239 0.441508 0.734646 0.37213 0.457425 0.722041 0.701869 0.391259 -0.394653 0.75717
19800 28 0.461961 0.45587 0.468052 0.461899 0.462023 0.726991 0.38585 0.45508 0.772936 0.733144 0.381389 -0.453955 0.760428
20000 34 0.397103 0.396615 0.397592 0.39721 0.396997 0.695059 0.392144 0.39182 0.767418 0.695441 0.390183 -0.365898 0.751872
20200 31 0.415652 0.422199 0.409105 0.416139 0.415165 0.704547 0.370686 0.391824 0.699278 0.697513 0.373231 -0.373751 0.704863
20400 29 0.407869 0.417194 0.398543 0.406229 0.409508 0.704654 0.384147 0.392545 0.758868 0.696968 0.396829 -0.398124 0.775966
20600 39 0.410223 0.400918 0.419527 0.409306 0.411139 0.695858 0.387221 0.383503 0.755718 0.70608 0.383287 -0.393443 0.742342
20800 30 0.424229 0.430275 0.418184 0.424195 0.424264 0.712435 0.38415 0.407136 0.750963 0.706424 0.389115 -0.407366 0.760479
21000 33 0.406927 0.418406 0.395447 0.408233 0.405621 0.707721 0.38985 0.404715 0.759332 0.694936 0.392423 -0.373324 0.767419
21200 30 0.405639 0.415428 0.39585 0.406434 0.404844 0.70601 0.393958 0.417303 0.774302 0.695425 0.395396 -0.375654 0.785091
21400 31 0.401576 0.368974 0.434179 0.398304 0.404849 0.681333 0.399036 0.35012 0.793278 0.717208 0.395975 -0.423069 0.794319
21600 30 0.441683 0.415504 0.467863 0.440519 0.442848 0.705293 0.391433 0.394981 0.784159 0.732637 0.383065 -0.458024 0.769384
21800 34 0.416105 0.413145 0.419064 0.416068 0.416141 0.705609 0.39878 0.414648 0.797407 0.708605 0.395073 -0.401183 0.792242
22000 36 0.461218 0.428357 0.494079 0.460868 0.461568 0.711898 0.39036 0.414372 0.78451 0.745109 0.372482 -0.490429 0.740277
