sim_gen inv_id freq freq_p1 freq_p2 num_qtns mean_qtnSelCoef sd_qtnSelCoef mean_qtnDom sd_qtnDom inv_FST 
1600 1188903 0.012 0.0085 0.0155 8 -0.00104972 0.00277275 0 0 0
1600 1342141 0.00075 0 0.0015 9 0.000943386 0.00152905 0 0 0
1600 1156989 0.088 0.0905 0.0855 9 0.000191155 0.00160214 0 0 7.78758e-05
1600 1344722 0.00025 0.0005 0 1 0.00178973 0 0 0 0
1600 1308902 0.03425 0.0315 0.037 8 9.44024e-06 0.00157942 0 0 0
1600 1335509 0.00475 0.0035 0.006 8 -8.38645e-05 0.00204837 0 0 0
1600 1329059 0.00275 0.002 0.0035 5 -0.000130616 0.00247117 0 0 0
1600 1332341 0.00075 0.0005 0.001 0 0 0 0 0 0
1600 1337174 0.00125 0.001 0.0015 2 -0.000656903 0.000547121 0 0 0
1600 1342982 0.00025 0 0.0005 0 0 0 0 0 0
1600 1341287 0.0005 0.0005 0.0005 6 -0.00187166 0.00270095 0 0 0
1600 1324817 0.006 0.006 0.006 3 -0.000803748 0.00305226 0 0 0
1600 1343886 0.00075 0.0015 0 11 0.000603552 0.0022015 0 0 0
1600 1340507 0.00025 0 0.0005 3 -0.000684313 0.00312995 0 0 0
1600 1340508 0.0005 0.001 0 3 -0.00112115 0.00132737 0 0 0
1600 1342981 0.00125 0.002 0.0005 0 0 0 0 0 0
1600 1344720 0.001 0.0015 0.0005 2 -0.000418133 0.00159925 0 0 0
1600 1344721 0.001 0.0005 0.0015 2 -0.00231794 0.00108748 0 0 0
1600 1345568 0.0005 0 0.001 3 0.000279089 0.00298909 0 0 0
1600 1346384 0.00025 0 0.0005 4 0.000702152 0.0015935 0 0 0
1800 1188023 0.013 0.0165 0.0095 6 -0.000324732 0.000575567 0 0 0
1800 1504044 0.00375 0.005 0.0025 0 0 0 0 0 0
1800 62541 0.20375 0.2095 0.198 59 -9.87441e-05 0.00193595 0 0 0.000203793
1800 969328 0.01325 0.0125 0.014 1 0.00573534 0 0 0 0
1800 1488283 0.001 0.0015 0.0005 1 -0.00381806 0 0 0 0
1800 1454295 0.004 0.004 0.004 5 0.000816662 0.00259775 0 0 0
1800 961734 0.07 0.0665 0.0735 19 -0.000137968 0.00154101 0 0 0.000188172
1800 1298072 0.00975 0.009 0.0105 3 0.000789543 0.000578973 0 0 0
1800 419486 0.00225 0.0015 0.003 0 0 0 0 0 0
1800 736668 0.02025 0.0175 0.023 6 -0.000595276 0.00142708 0 0 0
1800 1053562 0.049 0.0545 0.0435 5 0.00120589 0.00191919 0 0 0
1800 1269595 0.0755 0.0755 0.0755 10 0.000196541 0.00180958 0 0 0
1800 258285 0.28775 0.2805 0.295 57 0.000441321 0.0021522 0 0 0.000256465
1800 966786 0.0145 0.013 0.016 10 0.000993358 0.00203052 0 0 0
1800 1507321 0.0015 0.0025 0.0005 3 -0.000227884 0.00099661 0 0 0
1800 1188903 0.08125 0.08 0.0825 9 -0.00134637 0.00262975 0 0 2.09314e-05
1800 1472962 0.0015 0.0015 0.0015 5 -0.000712486 0.00187633 0 0 0
1800 1156989 0.17675 0.1785 0.175 20 0.000577747 0.00120941 0 0 2.10467e-05
1800 1378267 0.05575 0.057 0.0545 20 -0.000119107 0.00176375 0 0 2.96817e-05
1800 1308902 0.0365 0.0375 0.0355 13 -0.000131546 0.00137456 0 0 0
1800 1396105 0.00025 0.0005 0 3 0.00082708 0.000685423 0 0 0
1800 1422248 0.0105 0.009 0.012 8 -0.000370341 0.00119815 0 0 0
1800 1496570 0.001 0.0005 0.0015 3 0.00128503 0.00124048 0 0 0
