"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3385567 0.00000001 0.001 1.5 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385568 0.00000001 0.001 1.5 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385569 0.00000001 0.001 1.5 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385570 0.00000001 0.001 1.5 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385571 0.00000001 0.001 1.5 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385572 0.00000001 0.001 1.5 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385573 0.00000001 0.001 1.5 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385574 0.00000001 0.001 1.5 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385575 0.00000001 0.001 1.5 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385576 0.00000001 0.001 1.5 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385577 0.00000001 0.001 1.5 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385578 0.00000001 0.001 1.5 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385579 0.00000001 0.001 1.5 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385580 0.00000001 0.001 1.5 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385581 0.00000001 0.001 1.5 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385582 0.00000001 0.001 1.5 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385583 0.00000001 0.001 1.5 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385584 0.00000001 0.001 1.5 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385585 0.00000001 0.001 1.5 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385586 0.00000001 0.001 1.5 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385587 0.00000001 0.001 1.5 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385588 0.00000001 0.001 1.5 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385589 0.00000001 0.001 1.5 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385590 0.00000001 0.001 1.5 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385591 0.00000001 0.001 1.5 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385592 0.00000001 0.001 3 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385593 0.00000001 0.001 3 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385594 0.00000001 0.001 3 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385595 0.00000001 0.001 3 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385596 0.00000001 0.001 3 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385597 0.00000001 0.001 3 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385598 0.00000001 0.001 3 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385599 0.00000001 0.001 3 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385600 0.00000001 0.001 3 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385601 0.00000001 0.001 3 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385602 0.00000001 0.001 3 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385603 0.00000001 0.001 3 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
