"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383375,1e-07,0,0.9,0.2,5,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383376,1e-07,0,0.9,0.2,5,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383377,1e-07,0,0.9,0.2,5,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383378,1e-07,0,0.9,0.2,5,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383379,1e-07,0,0.9,0.2,5,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383380,1e-07,0,0.9,0.2,5,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383381,1e-07,0,0.9,0.2,5,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383382,1e-07,0,1.5,0.002,1,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383383,1e-07,0,1.5,0.002,1,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383384,1e-07,0,1.5,0.002,1,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383385,1e-07,0,1.5,0.002,1,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383386,1e-07,0,1.5,0.002,1,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383387,1e-07,0,1.5,0.002,1,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383388,1e-07,0,1.5,0.002,1,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383389,1e-07,0,1.5,0.002,1,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383390,1e-07,0,1.5,0.002,1,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383391,1e-07,0,1.5,0.002,1,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383392,1e-07,0,1.5,0.002,2,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383393,1e-07,0,1.5,0.002,2,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383394,1e-07,0,1.5,0.002,2,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383395,1e-07,0,1.5,0.002,2,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383396,1e-07,0,1.5,0.002,2,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383397,1e-07,0,1.5,0.002,2,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383398,1e-07,0,1.5,0.002,2,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383399,1e-07,0,1.5,0.002,2,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383400,1e-07,0,1.5,0.002,2,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383401,1e-07,0,1.5,0.002,2,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383402,1e-07,0,1.5,0.002,3,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383403,1e-07,0,1.5,0.002,3,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383404,1e-07,0,1.5,0.002,3,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383405,1e-07,0,1.5,0.002,3,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383406,1e-07,0,1.5,0.002,3,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383407,1e-07,0,1.5,0.002,3,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383408,1e-07,0,1.5,0.002,3,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383409,1e-07,0,1.5,0.002,3,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383410,1e-07,0,1.5,0.002,3,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383411,1e-07,0,1.5,0.002,3,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383412,1e-07,0,1.5,0.002,4,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383413,1e-07,0,1.5,0.002,4,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383414,1e-07,0,1.5,0.002,4,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383415,1e-07,0,1.5,0.002,4,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383416,1e-07,0,1.5,0.002,4,1000,0,0.5,0.5,1,-1,4000,21,1e-06
