"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
"198" 3385374 1e-06 1e-06 3 0.002 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"199" 3385375 1e-06 1e-06 3 0.002 5 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"200" 3385376 1e-06 1e-06 3 0.002 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"201" 3385377 1e-06 1e-06 3 0.002 5 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"202" 3385378 1e-06 1e-06 3 0.002 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"203" 3385379 1e-06 1e-06 3 0.002 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"204" 3385380 1e-06 1e-06 3 0.002 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"205" 3385381 1e-06 1e-06 3 0.002 5 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"206" 3385385 1e-06 1e-06 3 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"207" 3385388 1e-06 1e-06 3 0.2 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"208" 3385401 1e-06 1e-06 3 0.2 2 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"209" 3385408 1e-06 1e-06 3 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"210" 3385415 1e-06 1e-06 3 0.2 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"211" 3385431 1e-06 1e-06 3 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
